                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.6028,                 0.8643,                 1.0488,                0.70417,                 0.6658,                0.68651,                0.36919,                 1.5629,                0.83283,                 1.0925,               0.003466,               0.003466,               0.003466
                     69,                 1.6041,                0.86281,                 1.0488,                0.70502,                0.66394,                0.68677,                0.36962,                 1.5634,                0.83242,                 1.0929,               0.003367,               0.003367,               0.003367
                     70,                 1.5991,                0.85915,                 1.0515,                0.70444,                0.66659,                0.68699,                0.36951,                 1.5638,                 0.8311,                 1.0933,               0.003268,               0.003268,               0.003268
                     71,                 1.5994,                0.85968,                 1.0503,                0.70517,                0.66689,                0.68683,                0.36981,                  1.564,                0.83018,                 1.0934,               0.003169,               0.003169,               0.003169
                     72,                 1.5975,                0.85572,                 1.0475,                0.70784,                0.66225,                0.68642,                0.36995,                  1.563,                0.82953,                 1.0925,                0.00307,                0.00307,                0.00307
                     73,                 1.5909,                0.85186,                 1.0466,                  0.705,                0.66565,                0.68636,                0.37019,                 1.5619,                 0.8286,                 1.0917,               0.002971,               0.002971,               0.002971
                     74,                 1.5942,                0.85237,                 1.0472,                 0.7025,                0.66469,                0.68588,                0.37016,                 1.5615,                0.82766,                 1.0909,               0.002872,               0.002872,               0.002872
                     75,                 1.5889,                  0.851,                 1.0441,                0.70306,                0.66601,                0.68699,                0.37067,                 1.5608,                0.82668,                 1.0907,               0.002773,               0.002773,               0.002773
                     76,                 1.5885,                 0.8501,                 1.0445,                0.70599,                0.66484,                0.68745,                0.37075,                   1.56,                0.82565,                 1.0904,               0.002674,               0.002674,               0.002674
                     77,                 1.5865,                0.84736,                 1.0449,                0.70616,                0.66506,                0.68709,                0.37081,                 1.5592,                0.82493,                   1.09,               0.002575,               0.002575,               0.002575
                     78,                 1.5812,                0.84396,                 1.0449,                0.70581,                0.66537,                0.68738,                 0.3711,                 1.5589,                0.82434,                 1.0902,               0.002476,               0.002476,               0.002476
                     79,                 1.5782,                0.84404,                 1.0435,                 0.7061,                0.66527,                 0.6877,                0.37144,                 1.5594,                0.82362,                 1.0902,               0.002377,               0.002377,               0.002377
                     80,                 1.5778,                0.84684,                 1.0404,                0.70155,                0.66805,                0.68777,                0.37128,                 1.5588,                0.82294,                   1.09,               0.002278,               0.002278,               0.002278
                     81,                 1.5848,                0.84357,                 1.0418,                0.70359,                0.66707,                0.68817,                0.37153,                 1.5586,                 0.8229,                 1.0898,               0.002179,               0.002179,               0.002179
                     82,                 1.5831,                0.83917,                 1.0434,                0.70358,                0.66624,                0.68797,                 0.3714,                 1.5581,                0.82213,                 1.0898,                0.00208,                0.00208,                0.00208
                     83,                  1.581,                0.84114,                 1.0428,                0.70004,                0.66758,                0.68818,                0.37176,                 1.5579,                0.82163,                 1.0897,               0.001981,               0.001981,               0.001981
                     84,                 1.5759,                0.83771,                 1.0412,                0.70136,                0.66813,                0.68848,                0.37164,                  1.558,                0.82147,                 1.0897,               0.001882,               0.001882,               0.001882
                     85,                 1.5794,                0.84311,                 1.0393,                0.70019,                0.66933,                0.68862,                0.37173,                 1.5577,                 0.8213,                 1.0895,               0.001783,               0.001783,               0.001783
                     86,                 1.5751,                0.83407,                 1.0416,                0.70156,                0.66952,                0.68901,                0.37189,                  1.558,                0.82083,                 1.0895,               0.001684,               0.001684,               0.001684
                     87,                 1.5703,                0.83725,                 1.0406,                0.70196,                0.67006,                 0.6888,                 0.3719,                 1.5581,                0.82069,                 1.0893,               0.001585,               0.001585,               0.001585
                     88,                 1.5654,                0.83095,                  1.038,                0.70142,                0.67001,                0.68865,                0.37202,                 1.5581,                0.82037,                 1.0892,               0.001486,               0.001486,               0.001486
                     89,                 1.5677,                0.83115,                  1.039,                0.70097,                0.66958,                0.68869,                0.37206,                  1.558,                0.82004,                 1.0892,               0.001387,               0.001387,               0.001387
                     90,                 1.5706,                0.83061,                 1.0401,                0.70164,                0.66985,                0.68862,                0.37196,                 1.5577,                 0.8195,                 1.0889,               0.001288,               0.001288,               0.001288
                     91,                 1.5589,                0.83209,                 1.0483,                0.70216,                0.66935,                0.68894,                0.37181,                 1.5578,                0.81952,                  1.089,               0.001189,               0.001189,               0.001189
                     92,                 1.5589,                 0.8291,                 1.0519,                0.70109,                0.67002,                0.68906,                0.37212,                 1.5575,                0.81911,                 1.0887,                0.00109,                0.00109,                0.00109
                     93,                 1.5523,                0.82472,                 1.0481,                0.70755,                0.66614,                0.68861,                0.37197,                 1.5574,                0.81871,                 1.0888,               0.000991,               0.000991,               0.000991
                     94,                 1.5482,                0.81961,                 1.0458,                0.70537,                0.66782,                0.68884,                0.37201,                 1.5571,                 0.8184,                 1.0886,               0.000892,               0.000892,               0.000892
                     95,                 1.5471,                0.81978,                 1.0469,                0.70446,                0.66825,                0.68855,                0.37193,                 1.5573,                0.81817,                 1.0886,               0.000793,               0.000793,               0.000793
                     96,                 1.5458,                0.81728,                 1.0444,                0.70577,                  0.668,                0.68846,                0.37157,                 1.5575,                0.81775,                 1.0887,               0.000694,               0.000694,               0.000694
                     97,                 1.5387,                0.81436,                 1.0438,                0.70711,                0.66765,                0.68841,                0.37154,                 1.5575,                0.81752,                 1.0887,               0.000595,               0.000595,               0.000595
                     98,                 1.5445,                0.81534,                 1.0438,                0.70905,                0.66673,                0.68835,                 0.3714,                 1.5576,                0.81743,                 1.0886,               0.000496,               0.000496,               0.000496
                     99,                 1.5382,                0.81173,                 1.0422,                 0.7094,                0.66673,                0.68846,                0.37163,                 1.5577,                0.81738,                 1.0887,               0.000397,               0.000397,               0.000397
                    100,                 1.5366,                0.81093,                 1.0431,                 0.7105,                0.66504,                0.68846,                0.37176,                 1.5579,                0.81723,                 1.0887,               0.000298,               0.000298,               0.000298
